@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 13\nSize of the tree: 23\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 7\nSize of the tree: 12\n','Number of leaves: 8\nSize of the tree: 14\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

heart-c1,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,79,24,0,76.699029,23.300971,0,0.539836,0.334094,0.42258,67.343206,84.840443,102.432227,80.571559,21.860668,0.994488,0.782248,0.212239,37.496973,0.364048,3771.32729,0.678571,38,0.12766,6,0.87234,41,0.321429,18,0.863636,0.678571,0.76,0.554719,0.787234,0.771355,0.76699,0.216078,0.783922,0.23301,0.786647,0.76699,0.766199,0.554719,0.787234,0.730737,0.766792,0.76699,0.007,0.001,0.006206,0.000383,6.206,0.383,6112,25366,14017,100,100,?,3,?,?
heart-c1,1,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,79,24,0,76.699029,23.300971,0,0.523883,0.256352,0.399633,51.672661,80.233365,102.432227,6489.664309,-6387.232082,0.994488,63.00645,-62.011962,50.646314,0.491712,5093.846641,0.857143,48,0.340426,16,0.659574,31,0.142857,8,0.75,0.857143,0.8,0.530608,0.852774,0.858075,0.76699,0.250273,0.749727,0.23301,0.770475,0.76699,0.76392,0.530608,0.852774,0.822346,0.760465,0.76699,0.004,0,0.002765,0.000415,2.765,0.415,7650,25366,14017,94.174757,75.242718,'Number of leaves: 13\nSize of the tree: 23\n',13,23,13
heart-c1,2,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,84,19,0,81.553398,18.446602,0,0.632626,0.311557,0.391512,62.800425,78.602945,102.432227,71.879437,30.55279,0.994488,0.697859,0.296629,41.997179,0.40774,4223.94383,0.767857,43,0.12766,6,0.87234,41,0.232143,13,0.877551,0.767857,0.819048,0.638502,0.819529,0.821839,0.815534,0.175336,0.824664,0.184466,0.823573,0.815534,0.815778,0.638502,0.819529,0.774025,0.815464,0.815534,0.003,0.001,0.002135,0.000409,2.135,0.409,4730,25366,14017,100,100,'Number of leaves: 4\nSize of the tree: 7\n',4,7,4
heart-c1,3,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,199,104,80,24,0,76.923077,23.076923,0,0.523482,0.339832,0.428662,68.523591,86.125756,103.315457,2223.830076,-2120.514618,0.993418,21.382981,-20.389564,35.926568,0.345448,3611.313522,0.894737,51,0.382979,18,0.617021,29,0.105263,6,0.73913,0.894737,0.809524,0.539005,0.757745,0.721761,0.769231,0.257473,0.742527,0.230769,0.779551,0.769231,0.763334,0.539005,0.757745,0.711836,0.75842,0.769231,0.002,0.001,0.00224,0.000465,2.24,0.465,4730,25249,14134,98.076923,96.634615,'Number of leaves: 4\nSize of the tree: 7\n',4,7,4
heart-c1,4,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,78,25,0,75.728155,24.271845,0,0.514975,0.336663,0.434747,67.860895,87.283107,102.432227,2224.996798,-2122.564571,0.994488,21.601911,-20.607423,36.488172,0.354254,3669.865275,0.732143,41,0.212766,10,0.787234,37,0.267857,15,0.803922,0.732143,0.766355,0.517415,0.75171,0.740519,0.757282,0.237905,0.762095,0.242718,0.761766,0.757282,0.75774,0.517415,0.75171,0.704601,0.756915,0.757282,0.002,0.001,0.002213,0.00043,2.213,0.43,5638,25366,14017,98.058252,98.543689,'Number of leaves: 7\nSize of the tree: 12\n',7,12,7
heart-c1,5,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,78,25,0,75.728155,24.271845,0,0.513325,0.319663,0.451137,64.43434,90.573597,102.432227,4371.584784,-4269.152557,0.994488,42.442571,-41.448083,39.114172,0.379749,3933.980076,0.75,42,0.234043,11,0.765957,36,0.25,14,0.792453,0.75,0.770642,0.514202,0.74867,0.747669,0.757282,0.241324,0.758676,0.242718,0.759392,0.757282,0.757695,0.514202,0.74867,0.700985,0.756455,0.757282,0.002,0.001,0.002158,0.000556,2.158,0.556,6006,25366,14017,96.116505,95.631068,'Number of leaves: 8\nSize of the tree: 14\n',8,14,8
heart-c1,6,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,201,102,71,31,0,69.607843,30.392157,0,0.382663,0.383176,0.473012,77.269611,95.050455,101.306814,95.585123,5.721691,0.993204,0.937109,0.056095,25.940637,0.25432,2607.268909,0.75,42,0.369565,17,0.630435,29,0.25,14,0.711864,0.75,0.730435,0.383348,0.690217,0.671153,0.696078,0.315644,0.684356,0.303922,0.694977,0.696078,0.69492,0.383348,0.690217,0.635386,0.69106,0.696078,0.012,0.001,0.002251,0.000452,2.251,0.452,3994,25483,13900,100,100,'Number of leaves: 2\nSize of the tree: 3\n',2,3,2
heart-c1,7,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,84,19,0,81.553398,18.446602,0,0.631381,0.302378,0.391658,60.95017,78.632166,102.432227,71.463315,30.968912,0.994488,0.693819,0.300669,44.212225,0.429245,4446.726258,0.785714,44,0.148936,7,0.851064,40,0.214286,12,0.862745,0.785714,0.82243,0.634372,0.822188,0.813421,0.815534,0.178756,0.821244,0.184466,0.820074,0.815534,0.815882,0.634372,0.822188,0.774975,0.815255,0.815534,0.002,0,0.002081,0.000475,2.081,0.475,5638,25366,14017,100,99.029126,'Number of leaves: 7\nSize of the tree: 12\n',7,12,7
heart-c1,8,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,81,22,0,78.640777,21.359223,0,0.558972,0.31441,0.408559,63.37543,82.025457,102.432227,1145.988161,-1043.555935,0.994488,11.126099,-10.131611,40.68369,0.394987,4091.83729,0.928571,52,0.382979,18,0.617021,29,0.071429,4,0.742857,0.928571,0.825397,0.582379,0.788374,0.745565,0.786408,0.240815,0.759185,0.213592,0.804884,0.786408,0.779585,0.582379,0.788374,0.743282,0.775198,0.786408,0.002,0.001,0.002125,0.000518,2.125,0.518,4730,25366,14017,97.087379,85.436893,'Number of leaves: 4\nSize of the tree: 7\n',4,7,4
heart-c1,9,weka.classifiers.trees.J48,'-R -N 3 -Q 1 -M 3',-217733168393644444,20180607.1903,200,103,75,28,0,72.815534,27.184466,0,0.440652,0.323902,0.449768,65.288677,90.29889,102.432227,4367.492763,-4265.060536,0.994488,42.402842,-41.408355,37.461777,0.363707,3767.787412,0.857143,48,0.425532,20,0.574468,27,0.142857,8,0.705882,0.857143,0.774194,0.453886,0.765957,0.741666,0.728155,0.296544,0.703456,0.271845,0.735792,0.728155,0.721418,0.453886,0.765957,0.718895,0.716365,0.728155,0.004,0.001,0.0024,0.000475,2.4,0.475,6006,25366,14017,96.116505,90.291262,'Number of leaves: 8\nSize of the tree: 14\n',8,14,8
